Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04110:Cell cycle	123	100.0	2.9798601434224925E-241	RB1, CCNH, BUB1B, SMC3, CDC14A, CDC14B, CDC20, CCND3, CCND2, CDC23, PTTG1, CCND1, PTTG2, MYC, CDC26, CHEK2, CHEK1, CDC27, EP300, SKP2, SKP1, ANAPC7, CDC25C, CDC25A, CDC25B, RBX1, CCNE2, CCNE1, ANAPC4, ANAPC5, TP53, ANAPC1, MAD1L1, ANAPC2, ANAPC13, PRKDC, CUL1, PKMYT1, ANAPC10, ANAPC11, ORC5, CCNB3, ORC4, CCNB2, CCNB1, ORC6, ORC1, ORC3, RAD21, ORC2, ABL1, SFN, SMAD2, ZBTB17, TGFB2, SMAD4, TGFB1, SMAD3, GADD45B, GADD45A, TGFB3, PLK1, CDC7, CDC6, GADD45G, STAG1, CDK7, STAG2, CDK6, CDK4, CDC16, CDK2, MDM2, CDK1, ATM, ATR, CDKN1C, YWHAE, GSK3B, CDKN1A, CDKN1B, MCM7, YWHAB, YWHAQ, YWHAG, YWHAH, SMC1A, YWHAZ, SMC1B, RBL2, CCNA2, CCNA1, RBL1, TFDP1, DBF4, TFDP2, ESPL1, MCM3, MCM4, MCM5, MCM6, MCM2, HDAC2, PCNA, HDAC1, TTK, FZR1, CDC45, E2F1, E2F2, E2F3, E2F4, BUB3, E2F5, BUB1, CDKN2D, CDKN2B, CDKN2C, CDKN2A, MAD2L2, WEE1, WEE2, MAD2L1	123	158	8534	54.0126582278481	4.350595809396839E-239	4.350595809396839E-239	3.0692559477251673E-239
KEGG_PATHWAY	hsa05166:Human T-cell leukemia virus 1 infection	51	41.46341463414634	3.300912953406096E-48	RB1, CDKN1A, BUB1B, CDC20, CCND3, CDC23, CCND2, PTTG1, CCND1, PTTG2, MYC, CDC26, CHEK2, CHEK1, CDC27, EP300, ANAPC7, CCNA2, CCNA1, CCNE2, ESPL1, CCNE1, ANAPC4, ANAPC5, TP53, ANAPC1, MAD1L1, ANAPC2, ANAPC13, ANAPC10, ANAPC11, CCNB2, E2F1, E2F2, E2F3, BUB3, SMAD2, TGFB2, CDKN2B, SMAD4, TGFB1, CDKN2C, SMAD3, TGFB3, CDKN2A, CDK4, CDC16, CDK2, ATM, ATR, MAD2L1	123	224	8534	15.796820557491287	4.819332911972901E-46	2.4096664559864503E-46	1.6999701710041395E-46
KEGG_PATHWAY	hsa04114:Oocyte meiosis	41	33.33333333333333	6.208299363096385E-43	YWHAE, ANAPC13, YWHAB, CUL1, PKMYT1, SMC3, ANAPC10, ANAPC11, CDC20, CCNB2, CCNB1, CDC23, PTTG1, YWHAQ, PTTG2, CDC26, CDC27, BUB1, YWHAG, SKP1, YWHAH, ANAPC7, PLK1, CDC25C, SMC1A, YWHAZ, SMC1B, RBX1, MAD2L2, ESPL1, CCNE2, CCNE1, CDC16, CDK2, CDK1, ANAPC4, ANAPC5, ANAPC1, MAD1L1, MAD2L1, ANAPC2	123	139	8534	20.465227817745802	9.064117070120722E-41	3.0213723567069076E-41	2.1315161146630924E-41
KEGG_PATHWAY	hsa04218:Cellular senescence	41	33.33333333333333	1.491701830919456E-40	RB1, CDKN1A, CCNB3, CCNB2, CCND3, CCNB1, CCND2, CCND1, CHEK2, MYC, CHEK1, E2F1, E2F2, E2F3, E2F4, E2F5, SMAD2, TGFB2, CDKN2B, TGFB1, SMAD3, GADD45B, TGFB3, CDKN2A, GADD45A, CDC25A, GADD45G, RBL2, CCNA2, CCNA1, RBL1, CDK6, CCNE2, CCNE1, CDK4, CDK2, CDK1, MDM2, ATM, TP53, ATR	123	157	8534	18.118895966029722	2.1778846731424058E-38	5.4447116828560146E-39	3.841132214617599E-39
KEGG_PATHWAY	hsa04914:Progesterone-mediated oocyte maturation	29	23.577235772357724	4.662510155549792E-28	ANAPC13, PKMYT1, ANAPC10, ANAPC11, CCNB3, CCNB2, FZR1, CCNB1, CDC23, CDC26, CDC27, BUB1, ANAPC7, PLK1, CDC25C, CDC25A, CDC25B, MAD2L2, CCNA2, CCNA1, CDC16, CDK2, CDK1, ANAPC4, ANAPC5, ANAPC1, MAD1L1, MAD2L1, ANAPC2	123	111	8534	18.126858565882955	6.807264827102697E-26	1.3614529654205394E-26	9.604770920432573E-27
KEGG_PATHWAY	hsa05203:Viral carcinogenesis	33	26.82926829268293	4.897358612333881E-25	RB1, YWHAE, CDKN1A, HDAC2, CDKN1B, YWHAB, HDAC1, CDC20, CCND3, CCND2, CCND1, YWHAQ, CHEK1, EP300, SKP2, YWHAG, YWHAH, CDKN2B, CDKN2A, YWHAZ, RBL2, CCNA2, CCNA1, RBL1, CDK6, CCNE2, CCNE1, CDK4, CDK2, CDK1, MDM2, TP53, MAD1L1	123	205	8534	11.168828078524687	7.150143574007466E-23	1.1246436945255718E-23	7.9341301737078E-24
KEGG_PATHWAY	hsa05220:Chronic myeloid leukemia	24	19.51219512195122	5.3921273025198645E-25	RB1, CDKN1A, TGFB2, SMAD4, HDAC2, TGFB1, CDKN1B, SMAD3, GADD45B, TGFB3, CDKN2A, GADD45A, HDAC1, GADD45G, CDK6, CCND1, CDK4, MYC, MDM2, E2F1, ABL1, E2F2, E2F3, TP53	123	77	8534	21.625593918276845	7.872505861679003E-23	1.1246436945255718E-23	7.9341301737078E-24
KEGG_PATHWAY	hsa04115:p53 signaling pathway	23	18.69918699186992	9.795120787321402E-24	CDKN1A, GADD45B, CDKN2A, GADD45A, GADD45G, CCNB2, CCND3, CCNB1, CDK6, CCND2, CCNE2, CCND1, CCNE1, CDK4, CHEK2, CHEK1, CDK2, MDM2, CDK1, ATM, SFN, TP53, ATR	123	75	8534	21.27718157181572	1.4300876349489246E-21	1.7876095436861558E-22	1.2611218013676306E-22
KEGG_PATHWAY	hsa04068:FoxO signaling pathway	24	19.51219512195122	4.142968543050433E-19	CDKN2D, CDKN1A, TGFB2, CDKN2B, SMAD4, TGFB1, CDKN1B, SMAD3, GADD45B, TGFB3, GADD45A, PLK1, GADD45G, CCNB3, RBL2, CCNB2, CCNB1, CCND2, CCND1, CDK2, MDM2, EP300, ATM, SKP2	123	133	8534	12.520080689528701	6.048734072853633E-17	6.7208156365040356E-18	4.7413973326021626E-18
KEGG_PATHWAY	hsa05200:Pathways in cancer	40	32.52032520325203	2.3161258123124546E-18	RB1, GSK3B, CDKN1A, HDAC2, CDKN1B, HDAC1, CUL1, CCND3, CCND2, CCND1, MYC, E2F1, ABL1, E2F2, EP300, E2F3, SKP2, SKP1, SMAD2, ZBTB17, TGFB2, CDKN2B, SMAD4, TGFB1, SMAD3, GADD45B, TGFB3, CDKN2A, GADD45A, GADD45G, RBX1, CCNA2, CCNA1, CDK6, CCNE2, CCNE1, CDK4, CDK2, MDM2, TP53	123	533	8534	5.2069128571210666	3.381543685976184E-16	3.3815436859761835E-17	2.3856095866818283E-17
